subject,predicate,object,target,relation,novelty
soldier,deliver,April,soldier,locatum_on,established
soldier,deliver,April,soldier,locatum_on,established
school,find,mud,school,locatum_on,established
school,find,mud,school,locatum_on,established
Noh,fix,chamber,date,locatum_on,established
Osman,win,pkr,seat,locatum_on,established
Padilla,mention,Nancy,name,locatum_on,established
gunship,open,Doctors,fire,locatum_on,established
application,keep,track,people,locatum_on,established
application,keep,track,people,locatum_on,established
people,mention,IRC,people,locatum_on,established
officer,kill,vicinity,man,locatum_on,established
movement,put,contradiction,lid,locatum_on,established
movement,put,contradiction,lid,locatum_on,established
holding,break,November,ground,locatum_on,established
holding,break,November,ground,locatum_on,established
God,bring,God,people,locatum_on,established
Jensen,put,map,name,locatum_on,established
someone,pass,chair,gas,locatum_on,established
Darwin,cross,hagiography,cross,locatum_on,established
Dick,choose,honor,name,locatum_on,established
majority,lose,November,seat,locatum_on,established
HSR,put,bus,bus,locatum_on,established
HSR,put,bus,bus,locatum_on,established
project,start,roof,roof,locatum_on,established
law,prohibit,forest,forest,locatum_on,established
Xerxes,tax,order,people,locatum_on,established
department,leave,communication,hole,locatum_on,established
Art,hold,theme,panel,locatum_on,established
Madonna,bare,interview,breast,locatum_on,established
discussion,involve,Conventional,paper,locatum_on,established
discussion,involve,Conventional,paper,locatum_on,established
force,recognize,uniform,name,locatum_on,established
ship,make,Hawaii,ship,locatum_on,established
ship,make,Hawaii,ship,locatum_on,established
people,find,heart,people,locatum_on,established
Bilbo,guess,process,earth,locatum_on,established
capitalism,turn,cannibal,people,locatum_on,established
wife,wear,run,wife,locatum_on,established
wife,wear,run,wife,locatum_on,established
team,package,way,package,locatum_on,established
Marriott,break,Miami,ground,locatum_on,established
mom,tell,phone,people,locatum_on,established
board,permit,medium,name,locatum_on,established
Watermans,make,book,book,locatum_on,established
Watermans,make,book,book,locatum_on,established
cavalry,focus,Elohi,fire,locatum_on,established
account,put,million,number,locatum_on,established
Carson,lose,state,ground,locatum_on,established
terrorist,open,IDF,fire,locatum_on,established
auto,generate,IM,auto,locatum_on,established
City,book,fai,book,locatum_on,established
reservoir,burst,November,dam,locatum_on,established
photoshoot,take,forest,forest,locatum_on,established
photoshoot,take,forest,forest,locatum_on,established
state,acquire,September,land,locatum_on,established
Owen,place,front,glass,locatum_on,established
Massacre,take,date,date,locatum_on,established
Israel,lead,number,number,locatum_on,established
ship,reflect,Microcosm,ship,locatum_on,established
TDF,purchase,theater,ticket,locatum_on,established
gaudy,bedazzle,neck,cross,locatum_on,established
gaudy,bedazzle,neck,cross,locatum_on,established
official,say,video,man,locatum_on,established
people,construct,promontory,people,locatum_on,established
Curragh,manufacture,Wilton,carpet,locatum_on,established
city,rise,world,star,locatum_on,established
city,rise,world,star,locatum_on,established
crusaders,wear,armor,cross,locatum_on,established
crusaders,wear,armor,cross,locatum_on,established
Drake,take,line,line,locatum_on,established
holder,convert,gold,paper,locatum_on,established
game,engage,way,people,locatum_on,established
game,engage,way,people,locatum_on,established
level,take,year,level,locatum_on,established
Christoph,provide,review,ink,locatum_on,established
city,purchase,1970s,land,locatum_on,established
city,purchase,1970s,land,locatum_on,established
Democrats,flee,order,order,locatum_on,established
Democrats,flee,order,order,locatum_on,established
someone,pull,background,string,locatum_on,established
center,break,D,ground,locatum_on,established
Boulevard,break,May,ground,locatum_on,established
community,break,June,ground,locatum_on,established
WAMA,break,July,ground,locatum_on,established
HOSA,break,July,ground,locatum_on,established
Iberville,break,July,ground,locatum_on,established
build,break,May,ground,locatum_on,established
Blondie,know,grave,name,locatum_on,established
emotion,cross,sentimentality,cross,locatum_on,established
Tarleton,play,santee,tag,locatum_on,established
FFTA,take,land,land,locatum_on,established
fibrillation,mean,atria,blood,locatum_on,established
facilitator,lead,word,group,locatum_on,established
Andreas,take,leather,seat,locatum_on,established
people,receive,National,people,locatum_on,established
sergeant,place,Washington,drug,locatum_on,established
sergeant,place,Washington,drug,locatum_on,established
view,show,pin,paper,locatum_on,established
view,show,pin,paper,locatum_on,established
police,open,crowd,police,locatum_on,established
police,open,crowd,police,locatum_on,established
attacker,open,beach,fire,locatum_on,established
attacker,open,beach,fire,locatum_on,established
category,list,Da,list,locatum_on,established
category,list,Da,list,locatum_on,established
narrator,call,film,people,locatum_on,established
narrator,call,film,people,locatum_on,established
post,get,trouble,people,locatum_on,established
World,hit,October,screen,locatum_on,established
organization,receive,connection,subpoena,locatum_on,established
Amphitrite,discover,bottle,bottle,locatum_on,established
Link,retransmit,line,block,locatum_on,established
pope,take,homage,name,locatum_on,established
sorta,crush,cochrane,people,locatum_on,established
God,lead,wilderness,people,locatum_on,established
Brown,take,ih,seat,locatum_on,established
game,take,field,field,locatum_on,established
game,take,field,field,locatum_on,established
protester,man,Mong,man,locatum_on,established
Adam,get,rocket,oil,locatum_on,established
Freemasonry,put,center,man,locatum_on,established
rover,book,fai,book,locatum_on,established
desperation,write,face,line,locatum_on,established
flight,leave,way,ground,locatum_on,established
flight,leave,way,ground,locatum_on,established
Historia,take,land,land,locatum_on,established
worker,take,exchange,bribe,locatum_on,established
gunman,open,convoy,fire,locatum_on,established
officer,highlight,file,file,locatum_on,established
man,identify,form,man,locatum_on,established
health,characterize,country,man,locatum_on,established
world,fill,soul,hole,locatum_on,established
world,fill,soul,hole,locatum_on,established
movie,hit,July,screen,locatum_on,established
movie,hit,July,screen,locatum_on,established
partygoer,ignore,storage,fire,locatum_on,established
Isaac,sow,land,seed,locatum_on,established
God,make,beginning,man,locatum_on,established
troop,open,group,fire,locatum_on,established
pilgrim,catch,Haramain,fire,locatum_on,established
Rio,wrap,rope,arm,locatum_on,established
girl,enjoy,beach,beach,locatum_on,established
girl,enjoy,beach,beach,locatum_on,established
geocoder,convert,lat,address,locatum_on,established
lot,cause,screen,block,locatum_on,established
lot,cause,screen,block,locatum_on,established
TVNZ,show,occasion,man,locatum_on,established
Jeremy,take,breeding,seat,locatum_on,established
o,take,breeding,seat,locatum_on,established
Seth,stab,part,hole,locatum_on,established
skaven,earn,team,spot,locatum_on,established
skaven,earn,team,spot,locatum_on,established
gunman,open,Navy,fire,locatum_on,established
gunman,open,Navy,fire,locatum_on,established
Honor,celebrate,community,people,locatum_on,established
Helsinki,monitor,USSR,group,locatum_on,established
man,scribble,ledger,man,locatum_on,established
man,scribble,ledger,man,locatum_on,established
soldier,open,train,soldier,locatum_on,established
soldier,open,train,soldier,locatum_on,established
Minister,deliver,outlook,address,locatum_on,established
Minister,deliver,outlook,address,locatum_on,established
chain,plant,Leo,chain,locatum_on,established
chain,plant,Leo,chain,locatum_on,established
Chris,invite,decision,group,locatum_on,established
book,take,Kingdom,book,locatum_on,established
book,take,Kingdom,book,locatum_on,established
book,take,Earlstone,book,locatum_on,established
book,take,Earlstone,book,locatum_on,established
book,take,Howe,book,locatum_on,established
book,take,Howe,book,locatum_on,established
Huehuetenango,stage,order,stage,locatum_on,established
IV,present,Effective,paper,locatum_on,established
Pow,start,bin,jam,locatum_on,established
Luchiano,hop,Rick,fence,locatum_on,established
someone,break,wall,hole,locatum_on,established
Bane,take,corner,corner,locatum_on,established
participant,sort,group,group,locatum_on,established
participant,sort,group,group,locatum_on,established
pupation,take,cocoon,cocoon,locatum_on,established
father,hit,right,father,locatum_on,established
father,hit,right,father,locatum_on,established
Clinton,deliver,wake,address,locatum_on,established
organisation,file,high,file,locatum_on,established
organisation,file,high,file,locatum_on,established
Derek,analyze,front,man,locatum_on,established
officer,enlist,community,people,locatum_on,established
God,bring,eagle,people,locatum_on,established
Police,identify,news,man,locatum_on,established
1992No,wonder,charge,man,locatum_on,established
woman,fit,Andrew,shoe,locatum_on,established
woman,fit,Andrew,shoe,locatum_on,established
bandit,open,captain,fire,locatum_on,established
force,open,Tibetans,fire,locatum_on,established
Aski,whip,limo,whip,locatum_on,established
flower,strafe,front,flower,locatum_on,established
Sarah,lose,Elephant,glass,locatum_on,established
U.S.,lead,wind,wind,locatum_on,established
U.S.,lead,wind,wind,locatum_on,established
States,seek,UN,seat,locatum_on,established
people,wave,air,people,locatum_on,established
commissioner,propose,claim,block,locatum_on,established
butter,nourish,Africa,butter,locatum_on,established
butter,nourish,Africa,butter,locatum_on,established
book,deserve,today,book,locatum_on,established
book,deserve,today,book,locatum_on,established
magazine,print,reincarnation,print,locatum_on,established
owner,lose,war,ground,locatum_on,established
dev,swap,XUL,string,locatum_on,established
dev,swap,XUL,string,locatum_on,established
Tones,finish,Restoration,group,locatum_on,established
atrocity,take,school,school,locatum_on,established
club,send,laughter,club,locatum_on,established
club,send,laughter,club,locatum_on,established
effect,take,field,field,locatum_on,established
family,cultivate,rice,land,locatum_on,established
family,cultivate,rice,land,locatum_on,established
satellite,use,form,silver,locatum_on,established
Project,break,January,ground,locatum_on,established
gunman,open,school,fire,locatum_on,established
gunman,open,school,fire,locatum_on,established
pizzeria,post,door,sign,locatum_on,established
meeting,take,room,room,locatum_on,established
algae,choke,Copco,water,locatum_on,established
gunman,open,school,fire,locatum_on,established
UseI,rub,skin,cream,locatum_on,established
people,set,fire,people,locatum_on,established
people,beat,sorrow,people,locatum_on,established
leader,anger,side,people,locatum_on,established
investigator,find,water,shoe,locatum_on,established
interview,take,summer,summer,locatum_on,established
interview,take,summer,summer,locatum_on,established
team,replace,stone,roof,locatum_on,established
DHKKI,lose,election,ground,locatum_on,established
party,lose,election,ground,locatum_on,established
Gregori,present,priority,paper,locatum_on,established
fisherman,put,water,bait,locatum_on,established
fisherman,put,water,bait,locatum_on,established
release,fix,PPC,bug,locatum_on,established
Bullets,litter,Ni,litter,locatum_on,established
vegetation,require,order,order,locatum_on,established
people,light,fire,people,locatum_on,established
river,discharge,sea,water,locatum_on,established
homeowner,open,pair,fire,locatum_on,established
homeowner,open,pair,fire,locatum_on,established
game,take,room,room,locatum_on,established
up,take,Monday,line,locatum_on,established
soldier,start,breastwork,soldier,locatum_on,established
Commonwealth,incorporate,Gungahleen,block,locatum_on,established
Commonwealth,incorporate,Gungahleen,block,locatum_on,established
attorney,file,Common,file,locatum_on,established
renovation,take,house,house,locatum_on,established
renovation,take,house,house,locatum_on,established
police,block,November,police,locatum_on,established
morse,fix,PdfRenderer,bug,locatum_on,established
Justin,win,radio,ticket,locatum_on,established
story,span,life,span,locatum_on,established
attacker,slash,London,man,locatum_on,established
police,block,way,police,locatum_on,established
Hastings,host,law,panel,locatum_on,established
Hastings,arrange,merger,panel,locatum_on,established
manufacturer,hit,January,wall,locatum_on,established
Bernadette,accompany,trip,group,locatum_on,established
Indonesia,secure,UN,seat,locatum_on,established
Boonham,carve,altar,block,locatum_on,established
Greer,present,research,poster,locatum_on,established
courtship,take,water,water,locatum_on,established
line,reach,city,line,locatum_on,established
parkour,meet,running,graffiti,locatum_on,established
Jesus,make,wine,water,locatum_on,established
space,attract,science,people,locatum_on,established
Harris,keep,office,saddle,locatum_on,established
Smith,donate,north,land,locatum_on,established
people,see,work,people,locatum_on,established
Boehner,put,floor,floor,locatum_on,established
weekend,take,amphitheatre,weekend,locatum_on,established
weekend,take,amphitheatre,weekend,locatum_on,established
news,happen,story,star,locatum_on,established
France,demand,order,order,locatum_on,established
player,guess,head,head,locatum_on,established
Pidove,lose,book,book,locatum_on,established
gambling,take,garage,garage,locatum_on,established
market,take,McKeldin,market,locatum_on,established
Espinoza,tell,eve,press,locatum_on,established
medium,warn,Gauteng,people,locatum_on,established
wheel,hit,Lisbon,ground,locatum_on,established
wheel,hit,Lisbon,ground,locatum_on,established
i,spend,bed,bed,locatum_on,established
rule,include,turnover,cap,locatum_on,established
change,take,span,span,locatum_on,established
change,take,span,span,locatum_on,established
Isa,address,Malay,address,locatum_on,established
officer,collect,line,man,locatum_on,established
hunter,bring,hotelâs,horse,locatum_on,established
AKP,drag,war,people,locatum_on,established
Mark,lift,Haagen,lid,locatum_on,established
help,want,tne,sign,locatum_on,established
help,want,tne,sign,locatum_on,established
Ayesh,cover,duct,cover,locatum_on,established
door,need,wall,wall,locatum_on,established
nothing,put,place,man,locatum_on,established
someone,call,water,name,locatum_on,established
President,sign,law,sign,locatum_on,established
President,sign,law,sign,locatum_on,established
government,sign,order,sign,locatum_on,established
government,sign,order,sign,locatum_on,established
Democrats,win,Lower,seat,locatum_on,established
Democrats,win,Lower,seat,locatum_on,established
town,flinch,undersole,blood,locatum_on,established
diver,cut,lake,hole,locatum_on,established
Hamas,ban,Gaza,man,locatum_on,established
Leo,chase,closet,man,locatum_on,established
dog,earn,Guinness,dog,locatum_on,established
dog,earn,Guinness,dog,locatum_on,established
mother,use,law,mother,locatum_on,established
mother,use,law,mother,locatum_on,established
Tony,slam,table,glass,locatum_on,established
man,burn,lawn,man,locatum_on,established
book,get,episode,book,locatum_on,established
book,get,episode,book,locatum_on,established
God,give,hand,land,locatum_on,established
God,place,path,people,locatum_on,established
windshield,hit,car,people,locatum_on,established
windshield,hit,car,people,locatum_on,established
worker,sign,support,sign,locatum_on,established
HealthRight,headline,home,headline,locatum_on,established
Gonzaga,catch,Friday,fire,locatum_on,established
Nike,continue,Nike,line,locatum_on,established
card,get,name,star,locatum_on,established
people,overcome,life,people,locatum_on,established
woman,transform,something,scar,locatum_on,established
Navy,open,Gaza,fire,locatum_on,established
Army,open,Azun,fire,locatum_on,established
map,land,way,map,locatum_on,established
husband,debate,Sunday,husband,locatum_on,established
husband,debate,Sunday,husband,locatum_on,established
deacon,inform,St,people,locatum_on,established
company,present,figure,brand,locatum_on,established
journal,share,Twitter,share,locatum_on,established
woman,outnumber,camp,man,locatum_on,established
woman,outnumber,camp,man,locatum_on,established
regulation,finalize,Tier,cap,locatum_on,established
regulation,finalize,Tier,cap,locatum_on,established
Altman,take,shuttle,seat,locatum_on,established
III,take,governor,seat,locatum_on,established
man,turn,wine,man,locatum_on,established
man,turn,wine,man,locatum_on,established
colleague,test,Duplin,water,locatum_on,established
policy,keep,wage,lid,locatum_on,established
people,put,value,people,locatum_on,established
Verdier,divide,lot,land,locatum_on,established
gardener,embed,soil,seed,locatum_on,established
gardener,embed,soil,seed,locatum_on,established
Arboretum,break,auditorium,ground,locatum_on,established
Loughner,open,congresswoman,fire,locatum_on,established
book,take,future,book,locatum_on,established
book,take,future,book,locatum_on,established
worker,cut,ship,hole,locatum_on,established
Israelis,arrest,preparation,people,locatum_on,established
Obama,sign,Congress,sign,locatum_on,established
blood,draw,end,blood,locatum_on,established
league,change,National,name,locatum_on,established
lecsa,train,Conservation,people,locatum_on,established
boom,collect,water,oil,locatum_on,established
boom,collect,water,oil,locatum_on,established
mural,cover,bedroom,cover,locatum_on,established
color,match,centre,soil,locatum_on,established
David,take,wood,group,locatum_on,established
Sauerland,help,need,people,locatum_on,established
stage,fight,area,stage,locatum_on,established
priest,take,stage,priest,locatum_on,established
priest,take,stage,priest,locatum_on,established
Enemy,open,table,fire,locatum_on,established
Queensland,take,heatset,silver,locatum_on,established
Victoria,take,the,silver,locatum_on,established
Water,translate,Schweppes,name,locatum_on,established
crony,put,accelerator,brick,locatum_on,established
crony,put,accelerator,brick,locatum_on,established
barcabhoy,cover,post,cover,locatum_on,established
squirrel,kill,rudder,squirrel,locatum_on,established
Government,use,Parliament,number,locatum_on,established
someone,draw,map,line,locatum_on,established
Schmidt,publish,Nature,paper,locatum_on,established
student,assign,lottery,seat,locatum_on,established
saaraalee,meet,day,panel,locatum_on,established
CTA,reveal,WOPN,blood,locatum_on,established
table,display,KOI8-R,table,locatum_on,established
people,reach,relationship,people,locatum_on,established
gunman,open,New,fire,locatum_on,established
commentator,poke,reality,hole,locatum_on,established
gunman,open,security,fire,locatum_on,established
Tennessee,raise,number,cap,locatum_on,novel
one,foot,crisis,one,locatum_on,novel
one,foot,crisis,one,locatum_on,novel
Store,delete,server,message,locatum_on,novel
McKibben,amplify,landmark,message,locatum_on,novel
Muslims,hide,home,hide,locatum_on,novel
man,make,world,man,locatum_on,novel
trustee,take,Mayor,trustee,locatum_on,novel
dye,stain,soil,pattern,locatum_on,novel
movement,put,contradiction,lid,locatum_on,novel
movement,put,contradiction,lid,locatum_on,novel
projection,map,dancer,pattern,locatum_on,novel
landlord,want,benefit,tenant,locatum_on,novel
DVC,convey,speech,message,locatum_on,novel
DVC,convey,speech,message,locatum_on,novel
medium,influence,presentation,message,locatum_on,novel
Tennessee,raise,number,cap,locatum_on,novel
one,foot,crisis,one,locatum_on,novel
one,foot,crisis,one,locatum_on,novel
Store,delete,server,message,locatum_on,novel
McKibben,amplify,landmark,message,locatum_on,novel
Muslims,hide,home,hide,locatum_on,novel
man,make,world,man,locatum_on,novel
trustee,take,Mayor,trustee,locatum_on,novel
dye,stain,soil,pattern,locatum_on,novel
movement,put,contradiction,lid,locatum_on,novel
movement,put,contradiction,lid,locatum_on,novel
projection,map,dancer,pattern,locatum_on,novel
landlord,want,benefit,tenant,locatum_on,novel
DVC,convey,speech,message,locatum_on,novel
DVC,convey,speech,message,locatum_on,novel
medium,influence,presentation,message,locatum_on,novel
auto,generate,IM,message,locatum_on,novel
thunderbird,break,chunk,message,locatum_on,novel
desi,post,twitter,picture,locatum_on,novel
Pardee,post,twitter,picture,locatum_on,novel
Lyre,hold,arm,arm,locatum_on,novel
Amphitrite,discover,bottle,message,locatum_on,novel
Schmucke,draw,sandstone,chair,locatum_on,novel
man,notice,wall,man,locatum_on,novel
man,notice,wall,man,locatum_on,novel
Christians,recognise,statue,message,locatum_on,novel
Christians,recognise,statue,message,locatum_on,novel
Faith,post,chat,message,locatum_on,novel
Harrell,place,internet,message,locatum_on,novel
balance,take,bridge,picture,locatum_on,novel
participant,sort,group,card,locatum_on,novel
participant,sort,group,card,locatum_on,novel
agent,join,Islamabad,agent,locatum_on,novel
Edinburgh,create,education,chair,locatum_on,novel
Aski,whip,limo,ice,locatum_on,novel
hand,draw,multiprogramming,image,locatum_on,novel
one,take,service,one,locatum_on,novel
return,map,response,image,locatum_on,novel
blogger,use,site,image,locatum_on,novel
Senate,send,letter,message,locatum_on,novel
lightning,split,half,tree,locatum_on,novel
accident,fell,December,tree,locatum_on,novel
accident,fell,December,tree,locatum_on,novel
People,release,Poznan,lantern,locatum_on,novel
tourist,take,front,tourist,locatum_on,novel
VI,grow,protest,beard,locatum_on,novel
player,guess,head,card,locatum_on,novel
rule,include,turnover,cap,locatum_on,novel
group,expand,Libya,turf,locatum_on,novel
group,expand,Libya,turf,locatum_on,novel
Mark,lift,Haagen,lid,locatum_on,novel
SMH,post,tenant,tenant,locatum_on,novel
Dutt,take,man,man,locatum_on,novel
heaven,behold,breast,image,locatum_on,novel
public,leave,website,message,locatum_on,novel
public,leave,website,message,locatum_on,novel
government,keep,shipment,curb,locatum_on,novel
government,keep,shipment,curb,locatum_on,novel
agent,take,change,agent,locatum_on,novel
worker,sign,support,card,locatum_on,novel
auto,caption,web,image,locatum_on,novel
U.S.,send,support,message,locatum_on,novel
U.S.,send,support,message,locatum_on,novel
people,project,church,church,locatum_on,novel
regulation,finalize,Tier,cap,locatum_on,novel
regulation,finalize,Tier,cap,locatum_on,novel
truck,hit,roundabout,curb,locatum_on,novel
truck,hit,roundabout,curb,locatum_on,novel
policy,keep,wage,lid,locatum_on,novel
intruder,leave,room,blanket,locatum_on,novel
intruder,leave,room,blanket,locatum_on,novel
snack,keep,office,office,locatum_on,novel
stage,fight,area,card,locatum_on,novel
country,want,airline,curb,locatum_on,novel
i,put,shape,card,locatum_on,novel
father,give,exchange,gift,locatum_on,novel
father,give,exchange,gift,locatum_on,novel
player,throw,crowd,shirt,locatum_on,novel
Building,post,window,window,locatum_on,novel
word,paint,mind,image,locatum_on,novel
word,paint,mind,image,locatum_on,novel
microwave,cook,path,microwave,locatum_on,novel
Travis,share,service,message,locatum_on,novel
individual,include,estate,gift,locatum_on,novel
detective,find,bag,receipt,locatum_on,novel
Police,use,bag,receipt,locatum_on,novel
folk,find,Disney,image,locatum_on,novel
Sunlight,post,site,site,locatum_on,novel
pin,point,side,tree,locatum_on,novel
pin,point,side,tree,locatum_on,novel
output,receive,console,message,locatum_on,novel
council,say,surf,fee,locatum_on,novel
council,say,surf,fee,locatum_on,novel
lawyer,take,discussion,lawyer,locatum_on,novel
Rudy,wave,front,card,locatum_on,novel
group,post,twitter,message,locatum_on,novel
section,impose,manufacturer,fee,locatum_on,novel
section,impose,manufacturer,fee,locatum_on,novel
Christ,hath,heaven,chair,locatum_on,novel
control,keep,price,lid,locatum_on,novel
control,keep,price,lid,locatum_on,novel
King,put,Digg,message,locatum_on,novel
Union,cut,half,fee,locatum_on,novel
restorer,analyze,paint,pattern,locatum_on,novel
restorer,analyze,paint,pattern,locatum_on,novel
saver,update,comparison,card,locatum_on,novel
process,traverse,order,tree,locatum_on,novel
process,traverse,order,tree,locatum_on,novel
uk,focus,risk,image,locatum_on,novel
chef,take,day,chef,locatum_on,novel
chef,take,day,chef,locatum_on,novel
retailer,pass,cardholder,fee,locatum_on,novel
retailer,pass,cardholder,fee,locatum_on,novel
amount,include,relation,fee,locatum_on,novel
amount,include,relation,fee,locatum_on,novel
Francis,plant,UN,tree,locatum_on,novel
banker,play,cafeteria,card,locatum_on,novel
Xi,take,chair,chair,locatum_on,novel
someone,put,window,window,locatum_on,novel
Shumlin,reiterate,June,message,locatum_on,novel
descendant,plant,Chanctonbury,tree,locatum_on,novel
monk,take,prayer,monk,locatum_on,novel
God,see,mirror,image,locatum_on,novel
satellite,capture,April,image,locatum_on,novel
lad,get,paper,picture,locatum_on,novel
information,change,way,picture,locatum_on,novel
Brayden,lose,tooth,cap,locatum_on,novel
Heisinger,check,Salgado,image,locatum_on,novel
Nation,post,website,message,locatum_on,novel
graph,show,price,cap,locatum_on,novel
agency,put,growth,cap,locatum_on,novel
agency,put,growth,cap,locatum_on,novel
Dayton,use,flyer,image,locatum_on,novel
queen,rear,wax,queen,locatum_on,novel
queen,rear,wax,queen,locatum_on,novel
contractor,keep,property,tree,locatum_on,novel
car,jump,Grand,curb,locatum_on,novel
snow,blanket,Kent,blanket,locatum_on,novel
demonstrator,line,reaction,curb,locatum_on,novel
word,paint,mind,picture,locatum_on,novel
word,draw,people,picture,locatum_on,novel
School,take,pilot,pilot,locatum_on,novel
number,fit,world,picture,locatum_on,novel
number,fit,world,picture,locatum_on,novel
star,post,twitter,picture,locatum_on,novel
Freemasonry,set,ideology,pattern,locatum_on,novel
womens,ring,bed,ring,locatum_on,novel
father,put,finger,ring,locatum_on,novel
father,put,finger,ring,locatum_on,novel
mount,shoot,car,image,locatum_on,novel
Brasier,lay,table,card,locatum_on,novel
lawyer,win,state,lawyer,locatum_on,novel
KBC,lose,property,shirt,locatum_on,novel
Lucifer,kill,greenhouse,greenhouse,locatum_on,novel
Brady,put,Cian,lid,locatum_on,novel
camera,display,television,picture,locatum_on,novel
