utterance,year,relation,target,object,verb
keep_vv0 an_at1 eye_nn1 on_ii the_at concern_nn1 ,1862,location_on,concern,eye,keep
make_vvg money_nn1 by_ii the_at concern_nn1 ,1885,instrument,concern,money,make
sever_vvn_vvd his_appge connection_nn1 with_iw the_at concern_nn1 ,1901,instrument,concern,connection,sever
govern_vvi his_appge action_nn2 with_iw a_at1 concern_nn1 ,1905,instrument,concern,action,govern
relieve_vvi the_at concern_nn1 from_ii the_at payment_nn1 ,1911,locatum_out,concern,payment,relieve
disentangle_vvi his_appge concern_nn1 from_ii the_at labor_nn1 ,1912,locatum_out,concern,labor,disentangle
have_vhd a_at1 desk_nn1 with_iw a_at1 concern_nn1 ,1914,instrument,concern,desk,have
be_vbdz a_at1 diversion_nn1 from_ii her_appge concern_nn1 ,1942,location_out,concern,diversion,be
see_vvi the_at concern_nn1 on_ii a_at1 world_nn1 ,1947,locatum_on,concern,world,see
believe_vv0 sex_nn1 be_vbz the_at concern_nn1 ,1967,goal,concern,sex,believe
feed_vvg speculation_nn1 be_vbz the_at concern_nn1 ,1968,goal,concern,speculation,feed
be_vbz no_at concern_nn1 on_ii our_appge part_nn1 ,1971,locatum_on,concern,part,be
flee_vvi their_appge country_nn1 be_vbr no_at concern_nn1 ,1974,goal,concern,country,flee
keep_vvi the_at concern_nn1 from_ii my_appge voice_nn1 ,1977,locatum_out,concern,voice,keep
hide_vvi the_at concern_nn1 on_ii her_appge face_nn1 ,1988,locatum_on,concern,face,hide
wear_vvi her_appge concern_nn2 on_ii the_at skin_nn1 ,1993,locatum_on,concern,skin,wear
manage_vv0 your_appge lawn_nn1 with_iw a_at1 concern_nn1 ,1994,instrument,concern,lawn,manage
wear_vv0 their_appge concern_nn2 on_ii their_appge face_nn2 ,1995,locatum_on,concern,face,wear
nurture_vvd_vvn craftspeople_nn1_vv0 through_ii his_appge concern_nn1 ,1995,instrument,concern,craftspeople,nurture
promote_vvg a_at1 theocracy_nn1 by_ii his_appge concern_nn1 ,1996,instrument,concern,theocracy,promote
exclude_vvi their_appge child_nn2 from_ii their_appge concern_nn2 ,1999,location_out,concern,child,exclude
throw_vvg the_at piece_nn1 on_ii the_at counter_nn1 ,1833,location_on,counter,piece,throw
replace_vvd_vvn his_appge light_nn1_jj on_ii the_at counter_nn1 ,1835,location_on,counter,light,replace
find_vvn the_at book_nn1 on_ii his_appge counter_nn1 ,1836,location_on,counter,book,find
put_vvn the_at money_nn1 on_ii the_at counter_nn1 ,1848,location_on,counter,money,put
cut_vvn a_at1 hole_nn1 through_ii the_at counter_nn1 ,1849,instrument,counter,hole,cut
sell_vv0 candy_nn1 on_ii a_at1 counter_nn1 ,1850,location_on,counter,candy,sell
rest_vvd his_appge elbow_nn2 on_ii the_at counter_nn1 ,1854,location_on,counter,elbow,rest
put_vvi your_appge bill_nn1 on_ii the_at counter_nn1 ,1854,location_on,counter,bill,put
fling_vvg his_appge paper_nn1 on_ii the_at counter_nn1 ,1857,location_on,counter,paper,fling
make_vvg sketch_nn2 on_ii the_at counter_nn1 ,1859,location_on,counter,sketch,make
put_vvd_vv0 her_appge book_nn2 on_ii the_at counter_nn1 ,1864,location_on,counter,book,put
rest_vvd our_appge elbow_nn2 on_ii the_at counter_nn1 ,1867,location_on,counter,elbow,rest
snatch_vvg his_appge package_nn1 from_ii the_at counter_nn1 ,1869,location_out,counter,package,snatch
take_vvn the_at reduction_nn1 from_ii the_at counter_nn1 ,1871,location_out,counter,reduction,take
rest_vvd his_appge elbow_nn1 on_ii the_at counter_nn1 ,1873,location_on,counter,elbow,rest
toss_vvz good_nn2 on_ii the_at counter_nn1 ,1873,location_on,counter,good,toss
make_vvd_vvn change_nn1_vv0 on_ii a_at1 counter_nn1 ,1875,location_on,counter,change,make
put_vvd_vv0 his_appge satchel_nn1 on_ii the_at counter_nn1 ,1882,location_on,counter,satchel,put
take_vvz bill_nn1 from_ii the_at counter_nn1 ,1887,location_out,counter,bill,take
rest_vvg his_appge elbow_nn2 on_ii the_at counter_nn1 ,1888,location_on,counter,elbow,rest
open_vv0 the_at magazine_nn1 on_ii the_at counter_nn1 ,1888,location_on,counter,magazine,open
lay_vvg the_at cane_nn1 on_ii the_at counter_nn1 ,1888,location_on,counter,cane,lay
lay_vvd her_appge bundle_nn1 on_ii the_at counter_nn1 ,1892,location_on,counter,bundle,lay
cut_vvz a_at1 figure_nn1 on_ii the_at counter_nn2 ,1893,location_on,counter,figure,cut
sell_vvd bread_nn1 from_ii the_at counter_nn1 ,1896,location_out,counter,bread,sell
lay_vvd_vvn a_at1 note_nn1 on_ii the_at counter_nn1 ,1897,location_on,counter,note,lay
keep_vvd his_appge eye_nn2 on_ii the_at counter_nn1 ,1900,location_on,counter,eye,keep
change_vv0_nn1 fr_nnu be_vbm a_at1 counter_nn1 ,1902,goal,counter,fr,change
place_vvd her_appge bundle_nn2 on_ii the_at counter_nn1 ,1906,location_on,counter,bundle,place
lay_vvd the_at paper_nn1 on_ii the_at counter_nn1 ,1906,location_on,counter,paper,lay
lay_vvd a_at1 bill_nn1 on_ii the_at counter_nn1 ,1909,location_on,counter,bill,lay
dump_vvd the_at package_nn2 on_ii his_appge counter_nn1 ,1909,location_on,counter,package,dump
lay_vvd_vvn a_at1 package_nn1 on_ii the_at counter_nn1 ,1909,location_on,counter,package,lay
leave_vvi the_at money_nn1 on_ii the_at counter_nn1 ,1910,location_on,counter,money,leave
lay_vvd_vvn his_appge card_nn1 on_ii the_at counter_nn1 ,1912,location_on,counter,card,lay
throw_vvg his_appge money_nn1 on_ii the_at counter_nn1 ,1914,location_on,counter,money,throw
lay_vvd_vvn his_appge watch_nn1 on_ii the_at counter_nn1 ,1914,location_on,counter,watch,lay
find_vvd_vvn a_at1 seat_nn1 on_ii the_at counter_nn1 ,1917,location_on,counter,seat,find
lay_vvg a_at1 bill_nn1 on_ii the_at counter_nn1 ,1917,location_on,counter,bill,lay
put_vvd her_appge head_nn1 on_ii the_at counter_nn1 ,1919,location_on,counter,head,put
put_vvi their_appge good_nn2 on_ii the_at counter_nn1 ,1920,location_on,counter,good,put
put_vvi the_at penny_nnu2 on_ii the_at counter_nn1 ,1921,location_on,counter,penny,put
stand_vvd the_at egg_nn1 on_ii the_at counter_nn1 ,1921,location_on,counter,egg,stand
strike_vvd his_appge fist_nn1 on_ii the_at counter_nn1 ,1922,location_on,counter,fist,strike
thump_vvd his_appge fist_nn1 on_ii the_at counter_nn1 ,1925,location_on,counter,fist,thump
drop_vvz coin_nn2 on_ii the_at counter_nn1 ,1930,location_on,counter,coin,drop
slam_vvz his_appge money_nn1 on_ii the_at counter_nn1 ,1931,location_on,counter,money,slam
bounce_vvd the_at shilling_nn2 on_ii the_at counter_nn1 ,1932,location_on,counter,shilling,bounce
put_vvz the_at card_nn1 on_ii the_at counter_nn1 ,1934,location_on,counter,card,put
lay_vvd the_at money_nn1 on_ii the_at counter_nn1 ,1935,location_on,counter,money,lay
light_vvd the_at lamp_nn1 on_ii the_at counter_nn1 ,1936,location_on,counter,lamp,light
rest_vvd his_appge rifle_nn1 on_ii the_at counter_nn1 ,1936,location_on,counter,rifle,rest
lean_vvd_vvn his_appge elbow_nn2 on_ii the_at counter_nn1 ,1938,location_on,counter,elbow,lean
lay_vvd her_appge hat_nn1 on_ii the_at counter_nn1 ,1940,location_on,counter,hat,lay
set_vvd_vv0 his_appge saddlebag_nn2 on_ii the_at counter_nn1 ,1941,location_on,counter,saddlebag,set
slap_vvz the_at coin_nn1 on_ii the_at counter_nn1 ,1941,location_on,counter,coin,slap
drop_vvz the_at coin_nn1 on_ii the_at counter_nn1 ,1941,location_on,counter,coin,drop
slide_vvd the_at cape_nn1 onto_ii the_at counter_nn1 ,1941,location_on,counter,cape,slide
fold_vvd his_appge arm_nn2 on_ii the_at counter_nn1 ,1941,location_on,counter,arm,fold
put_vv0_vvd their_appge pence_nnu on_ii the_at counter_nn2 ,1941,location_on,counter,pence,put
set_vvd_vv0 his_appge saddlebag_nn2 on_ii the_at counter_nn1 ,1941,location_on,counter,saddlebag,set
take_vvz doll_nn1 from_ii the_at counter_nn1 ,1942,location_out,counter,doll,take
put_vvd the_at box_nn1 on_ii the_at counter_nn1 ,1943,location_on,counter,box,put
put_vvd_vv0_vvn the_at banana_nn1 on_ii the_at counter_nn1 ,1943,location_on,counter,banana,put
press_vvd the_at bell_nn1 on_ii the_at counter_nn1 ,1943,location_on,counter,bell,press
lay_vvd a_at1 bill_nn1 on_ii the_at counter_nn1 ,1943,location_on,counter,bill,lay
put_vvi the_at money_nn1 on_ii the_at counter_nn1 ,1944,location_on,counter,money,put
bang_vvg her_appge knuckle_nn2 on_ii the_at counter_nn1 ,1945,location_on,counter,knuckle,bang
drop_vvz a_at1 coin_nn1 on_ii the_at counter_nn1 ,1946,location_on,counter,coin,drop
lean_vvd his_appge arm_nn2 on_ii the_at counter_nn1 ,1947,location_on,counter,arm,lean
put_vvd the_at pie_nn2 on_ii the_at counter_nn1 ,1947,location_on,counter,pie,put
put_vvd her_appge hand_nn2 on_ii the_at counter_nn1 ,1947,location_on,counter,hand,put
throw_vvd the_at camel_nn2 on_ii the_at counter_nn1 ,1948,location_on,counter,camel,throw
put_vvd his_appge elbow_nn2 on_ii the_at counter_nn1 ,1948,location_on,counter,elbow,put
bang_vvd a_at1 fist_nn1 on_ii the_at counter_nn1 ,1948,location_on,counter,fist,bang
keep_vvd_vvn tobacco_nn1 on_ii the_at counter_nn1 ,1948,location_on,counter,tobacco,keep
put_vvz a_at1 bill_nn1 on_ii the_at counter_nn1 ,1949,location_on,counter,bill,put
slap_vvd his_appge rag_nn1 on_ii the_at counter_nn1 ,1950,location_on,counter,rag,slap
give_vvz the_at product_nn1 on_ii his_appge counter_nn1 ,1950,location_on,counter,product,give
deposit_vvi his_appge loot_nn1 on_ii the_at counter_nn1 ,1951,location_on,counter,loot,deposit
throw_vvd the_at coin_nn2 on_ii the_at counter_nn1 ,1952,location_on,counter,coin,throw
drop_vv0 his_appge nickel_nn1 on_ii the_at counter_nn1 ,1952,location_on,counter,nickel,drop
find_vvi houseroom_nn1 on_ii the_at counter_nn1 ,1952,location_on,counter,houseroom,find
leave_vvg the_at bolt_nn1 on_ii the_at counter_nn1 ,1953,location_on,counter,bolt,leave
leave_vvd a_at1 dime_nn1 on_ii the_at counter_nn1 ,1953,location_on,counter,dime,leave
lay_vvd_vvn a_at1 note_nn1 on_ii the_at counter_nn1 ,1953,location_on,counter,note,lay
open_vvd her_appge manual_nn1_jj on_ii a_at1 counter_nn1 ,1953,location_on,counter,manual,open
open_vvd his_appge manual_nn1_jj on_ii the_at counter_nn1 ,1953,location_on,counter,manual,open
take_vvd the_at manual_nn1_jj from_ii the_at counter_nn1 ,1953,location_out,counter,manual,take
lay_vvd his_appge club_nn1 on_ii the_at counter_nn1 ,1954,location_on,counter,club,lay
put_vvz the_at box_nn1 on_ii the_at counter_nn1 ,1954,location_on,counter,box,put
drop_vvz a_at1 bill_nn1 on_ii the_at counter_nn1 ,1954,location_on,counter,bill,drop
rest_vvg my_appge elbow_nn2 on_ii the_at counter_nn1 ,1955,location_on,counter,elbow,rest
put_vvg her_appge iron_nn1 on_ii the_at counter_nn1 ,1957,location_on,counter,iron,put
drop_vvd_vvn a_at1 coin_nn1 on_ii the_at counter_nn1 ,1957,location_on,counter,coin,drop
open_vvd the_at book_nn2 on_ii the_at counter_nn1 ,1957,location_on,counter,book,open
leave_vv0 the_at sum_nn1 on_ii the_at counter_nn1 ,1957,location_on,counter,sum,leave
set_vvd_vv0 her_appge pocketbook_nn1 on_ii the_at counter_nn1 ,1958,location_on,counter,pocketbook,set
leave_vvd_vvn the_at money_nn1 on_ii the_at counter_nn1 ,1958,location_on,counter,money,leave
lay_vvd a_at1 nickel_nn1 on_ii the_at counter_nn1 ,1960,location_on,counter,nickel,lay
spread_vvd her_appge catalogue_nn1 on_ii the_at counter_nn1 ,1960,location_on,counter,catalogue,spread
put_vvd the_at egg_nn1 on_ii the_at counter_nn1 ,1960,location_on,counter,egg,put
place_vvn her_appge handbag_nn1 on_ii the_at counter_nn1 ,1960,location_on,counter,handbag,place
lean_vvd my_appge elbow_nn2 on_ii the_at counter_nn1 ,1961,location_on,counter,elbow,lean
put_vvd my_appge change_nn1 on_ii the_at counter_nn1 ,1962,location_on,counter,change,put
slap_vvz a_at1 bill_nn1 on_ii the_at counter_nn1 ,1962,location_on,counter,bill,slap
put_vvd a_at1 dime_nn1 on_ii the_at counter_nn1 ,1963,location_on,counter,dime,put
put_vvd_vvn_vv0 a_at1 pack_nn1 on_ii the_at counter_nn1 ,1963,location_on,counter,pack,put
put_vvd a_at1 dime_nn1 on_ii the_at counter_nn1 ,1963,location_on,counter,dime,put
put_vvg the_at cigarette_nn2 on_ii the_at counter_nn1 ,1963,location_on,counter,cigarette,put
put_vvz the_at camera_nn1 on_ii the_at counter_nn1 ,1964,location_on,counter,camera,put
slap_vvz his_appge glass_nn1 on_ii the_at counter_nn1 ,1964,location_on,counter,glass,slap
put_vvd_vv0 my_appge money_nn1 on_ii the_at counter_nn1 ,1964,location_on,counter,money,put
put_vv0_vvd an_at1 arm_nn1 on_ii the_at counter_nn1 ,1964,location_on,counter,arm,put
